Date,Open,High,Low,Close,Volume
5/30/2012,20.3285,20.7139,20.2343,20.6846,529421392
5/31/2012,20.7407,20.7678,20.4093,20.6332,491910760
6/1/2012,20.3271,20.4518,20.0186,20.0353,520981064
6/4/2012,20.0536,20.2678,19.5893,20.1532,556989100
6/5/2012,20.0453,20.2311,19.9403,20.1011,388213948
6/6/2012,20.2775,20.4946,20.1964,20.4093,401449420
6/7/2012,20.6175,20.6186,20.375,20.4185,379973060
6/8/2012,20.4143,20.7351,20.3214,20.7257,347491824
6/11/2012,20.99,21.0178,20.3796,20.3989,591263372
6/12/2012,20.5164,20.5936,20.2393,20.5771,435580248
6/13/2012,20.5186,20.66,20.3707,20.4343,293773240
6/14/2012,20.4014,20.4821,20.2593,20.4118,345841476
6/15/2012,20.3928,20.5221,20.3411,20.5046,335253852
6/18/2012,20.3914,20.996,20.3703,20.9207,440411572
6/19/2012,20.8357,21.0714,20.825,20.9789,361404116
6/20/2012,21.0075,21.0446,20.7428,20.9193,359158988
6/21/2012,20.9085,21.0078,20.6228,20.631,326505384
6/22/2012,20.68,20.7925,20.5507,20.7893,284745528
6/25/2012,20.6178,20.7071,20.3703,20.3844,304354956
6/26/2012,20.4046,20.5175,20.2618,20.4294,276750316
6/27/2012,20.5357,20.5978,20.4257,20.5178,203059252
6/28/2012,20.4168,20.5,20.2003,20.3232,283042424
6/29/2012,20.6428,20.8571,20.5089,20.8571,421440572
7/2/2012,20.8832,21.1953,20.8428,21.1614,400091532
7/3/2012,21.2457,21.4286,21.2143,21.4075,241712872
7/5/2012,21.4486,21.9407,21.416,21.7835,484381220
7/6/2012,21.6818,21.73,21.485,21.6385,419029068
7/9/2012,21.6178,21.925,21.5753,21.9246,379401244
7/10/2012,22.0703,22.1382,21.6182,21.7218,511957884
7/11/2012,21.6471,21.7021,21.3293,21.5868,469317988
7/12/2012,21.4371,21.5525,21.1671,21.3893,427989076
7/13/2012,21.5339,21.6853,21.4286,21.606,311618104
7/16/2012,21.6114,21.8436,21.6078,21.6753,301305668
7/17/2012,21.8139,21.8393,21.541,21.6764,293812384
7/18/2012,21.6639,21.7264,21.5557,21.6521,252699804
7/19/2012,21.8314,21.9768,21.6428,21.94,436858732
7/20/2012,21.8939,21.9443,21.5607,21.5821,397470252
7/23/2012,21.2285,21.6393,20.9896,21.5653,487975524
7/24/2012,21.6921,21.7743,21.3753,21.4614,565132852
7/25/2012,20.5164,20.7428,20.3571,20.5346,877258348
7/26/2012,20.7057,20.7285,20.37,20.5314,406810752
7/27/2012,20.5361,20.9225,20.4139,20.8985,404053424
